Advertiser_ID,Advertiser_Name,Public_IDs_List,Regions,Elections,Total_Creatives,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_HRK,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP,Spend_NZD
AR230866930385289216,MODERATA SAMLINGSPARTIET RIKSORGANISATIONEN,,"EU, SE",EU-Parliament,25,2000,1750,137750,3450,13100,46000,13000,577500,7600,8400,18750,1550,3000
AR230918057675980800,ΠΑΠΑΣ ΘΕΟΦΑΝΗΣ (ΦΑΝΗΣ),,"EU, GR",EU-Parliament,19,900,800,63500,1600,6100,21000,6000,270000,3500,3900,9000,750,1400
AR231125315617816576,CINDY SIEGEL FOR CONGRESS,FEC ID C00703199,US,US-Federal,91,2400,2150,169250,4200,16000,55000,16000,720000,9200,10275,22500,1850,3600
AR231254783111987200,SAN DIEGANS AGAINST HATE OPPOSING LORIE ZAPF FOR CITY COUNCIL  2018 SPONSORED BY BUILDING AND CONSTRUCTION TRADES,EIN ID 81-2229625,US,US-Federal,1,700,600,48750,1150,4400,15000,4500,187500,2500,2700,6000,500,1000
AR231272237859078144,DEBBIE FOR CONGRESS,EIN ID 82-2332314,US,US-Federal,27,9200,8000,679000,15625,60200,211000,59500,2812500,35400,38625,84000,7100,14200
AR231601129274736640,DONOVAN FOR CONGRESS,FEC ID C00571869,US,US-Federal,3,800,650,51750,1275,4800,17000,5000,210000,2800,3075,6750,600,1200
AR231637825475313664,JON FRANCIS CAMPAIGN,EIN ID 84-3974773,US,US-Federal,44,3700,3250,270250,6400,24600,86000,24500,1140000,14400,15750,34500,2900,5600
AR231824398854651904,DEFAZIO FOR CONGRESS,FEC ID C00215905,US,US-Federal,9,1600,1500,121000,2900,11200,40000,11000,517500,6700,7125,15750,1300,2600
AR231855460058136576,FAITH JOHNSON FOR DALLAS COUNTY DISTRICT ATTORNEY,EIN ID 83-2150638,US,US-Federal,11,3600,3050,246000,6000,22700,80000,23000,1005000,13400,14325,31500,2700,5200
AR231942390196207616,Grüne Wirtschaft,,"AT, EU",EU-Parliament,4,11200,10200,803000,19950,76100,257000,76500,3442500,43700,48900,108000,8650,17600
AR232330930117672960,BRYNNE KENNEDY FOR CONGRESS,FEC ID C00704650,US,US-Federal,80,33800,29700,2466000,58100,222600,768000,221500,10290000,129600,143100,310500,26050,51800
AR23233367889674240,FRIENDS OF PAUL FERRO,EIN ID 83-2333865,US,US-Federal,1,400,350,30000,700,2700,9000,2500,120000,1600,1725,3750,300,600
AR232372436681621504,FRIENDS OF MARC FRIEDENBERG,FEC ID C00655084,US,US-Federal,5,29000,25850,2024500,50600,191900,666000,193000,8392500,111200,123150,277500,22500,44000
AR232680299937398784,Jukka Kopra,,"ES, EU, FI",EU-Parliament,14,7500,6650,517250,13000,49400,171000,49500,2130000,28500,31575,69750,5700,11000
AR232737268383612928,MATTHEW JEWELL CAMPAIGN,EIN ID 83-4438177,US,US-Federal,1,3300,3000,235500,5900,22400,78000,22500,1005000,13000,14325,33000,2700,5200
AR232771834280411136,BOWMAN FOR CONGRESS,FEC ID C00709196,US,US-Federal,47,80800,71800,6107500,140475,544200,1912000,535500,24885000,318900,347325,756750,64650,125200
AR233000395260035072,OMARI FAULKNER FOR VIRGINIA,EIN ID 84-3638695,US,US-Federal,12,500,450,36500,900,3400,12000,3500,150000,2000,2175,4500,400,800
AR233173224744026112,PARTIDUL NATIONAL LIBERAL filiala Alba,,"EU, RO",EU-Parliament,9,800,700,59250,1325,5100,18000,5000,240000,3000,3300,6750,600,1200
AR233353544650981376,RPSC ideas s.r.o.,,"CZ, EU",EU-Parliament,11,300,250,22750,500,2000,7000,2000,90000,1100,1275,3000,250,400
AR23346342709428224,SARA JACOBS FOR CONGRESS,FEC ID C00719559,US,US-Federal,19,35800,32500,2572250,63550,242600,822000,242500,11047500,139900,155925,342750,27650,56000
AR233916494604402688,PLANNED PARENTHOOD ADVOCATES OF WISCONSIN INC,EIN ID 39-1678012,US,US-Federal,1,6900,6250,517500,12200,47500,170000,46500,2227500,28300,30150,68250,5600,11600
AR234089736405254144,BUDDY FOR NC,EIN ID 83-3998203,US,US-Federal,16,3500,3200,253750,6300,24000,82000,24000,1080000,13900,15375,34500,2800,5600
AR234130349616005120,FLORIDA DEMOCRATIC PARTY,Registered in Florida 1539,US,US-Federal,1,600,600,45750,1125,4300,15000,4500,187500,2500,2700,6000,500,1000
AR234582729931358208,ELIZABETH MARKOWITZ FOR TEXAS HOUSE DISTRICT 28,EIN ID 84-2771036,US,US-Federal,28,44700,40350,3180500,78900,300300,1027000,301500,13387500,172200,192150,431250,34650,69400
AR234591388585426944,Magyar Közösségi Összefogás - Maďarská komunitná spolupatričnosť,,"EU, HU, SK",EU-Parliament,125,27200,25000,1943500,48925,186400,626000,187000,8437500,106900,119700,264000,20950,42600
AR234707593220587520,MO CHEEKS FOR MAYOR,EIN ID 83-1119380,US,US-Federal,1,0,50,3000,75,300,1000,500,15000,200,150,750,50,0
AR235108296489435136,ROYCE WEST FOR U.S. SENATE,FEC ID C00712968,US,US-Federal,1,200,200,16500,400,1500,5000,1500,67500,900,975,2250,200,400
AR235361802639114240,"SALES, WALT",Registered in Montana,US,US-Federal,1,100,50,5500,125,500,2000,500,22500,300,300,750,50,200
AR235409837553352704,ELECTRIC SYMPHONY LLC,EIN ID 46-3284163,US,US-Federal,136,30800,27300,2259750,53375,204200,712000,203500,9097500,118900,129525,287250,24250,47600
AR235441860829511680,Navdeep Sehrawat,,IN,IN-General,17,2800,2500,196000,4850,18400,64000,18500,817500,10600,11775,27000,2150,4400
AR235593318556237824,Christlich Soziale Union,,"DE, EU",EU-Parliament,2,0,50,3250,75,300,1000,500,15000,200,225,750,50,0
AR235859950125973504,UA UNION PLUMBERS & PIPEFITTERS VOTE! PAC (UNITED ASSOCIATION OF JOURNEYMEN AND APPRENTICES OF THE PLUMBING & PIPEFITTING INDUSTRY OF THE UNITED STATES AND CANADA),FEC ID C00012476,US,US-Federal,36,20300,17700,1414500,34600,131400,454000,132000,5782500,76100,83175,184500,15450,30400
AR236104728902107136,MARTHA ROBY FOR CONGRESS,FEC ID C00462143,US,US-Federal,85,34400,29450,2358250,57625,217800,764000,219500,9592500,128000,137325,305250,26050,50600
AR236111600849780736,Green Party of Ireland / Comhaontas Glas,,"EU, IE",EU-Parliament,145,5400,4850,380500,9475,36100,123000,36000,1620000,20800,23175,51750,4150,8200
AR23613111718117376,FRIENDS OF ELIZABETH ESTY,FEC ID C00494203,US,US-Federal,5,14900,13350,1078250,26100,99600,346000,99500,4470000,58000,63600,141000,11750,23000
AR236168294418087936,FRIENDS OF BRENDAN JOHNSON,EIN ID 84-2732669,US,US-Federal,44,700,650,54750,1250,4800,17000,4500,217500,2800,3075,6750,550,1200
AR236450319150612480,COMMITTEE TO ELECT CHAD M MINER FOR JUDGE,EIN ID 84-3685941,US,US-Federal,10,400,300,26750,625,2400,9000,2500,112500,1400,1575,3750,300,600
AR236539104714555392,FRIENDS OF KIMBERLY DUDIK,Registered in Montana,US,US-Federal,3,100,50,5750,150,500,2000,500,22500,300,375,750,50,200
AR236735986015404032,JUSTICE DEMOCRATS PAC,FEC ID C00630665,US,US-Federal,11,15700,14050,1099750,27475,104200,360000,105000,4597500,60100,66675,150000,12300,24000
AR236858237964517376,LYNCH FOR COLORADO,Registered in Colorado 20195037228,US,US-Federal,10,1700,1500,129000,2950,11500,40000,11500,532500,6700,7350,15750,1350,2600
AR236979459121479680,LIBERTY ALLIANCE USA,EIN ID 83-3671451,US,US-Federal,8,1500,1400,116000,2750,10700,39000,10500,502500,6400,6825,15000,1250,2600
AR237162665246457856,ONE COUNTRY INC,EIN ID 83-3768552,US,US-Federal,24,4600,3900,336750,7575,29200,102000,29000,1387500,17200,18825,39750,3500,6800
AR237230628808949760,DR JIM MAXWELL FOR CONGRESS,FEC ID C00666164,US,US-Federal,36,8000,7000,586750,13650,51800,180000,52000,2257500,30100,32550,72750,6150,12200
AR237244029106913280,SPD Ortsverein Xanten,,"DE, EU",EU-Parliament,2,500,400,33750,750,2900,10000,3000,135000,1700,1875,3750,350,600
AR237314329131614208,Komitet Wyborczy PSL,,"EU, PL",EU-Parliament,130,1300,1200,92250,2325,8800,31000,9000,397500,5100,5625,12750,1050,2000
AR237340030215913472,Komitet Wyborczy Prawo i Sprawiedliwość,,"DE, EU, GB, PL",EU-Parliament,1058,261400,236700,18554250,463000,1758900,6123000,1767500,78547500,1026100,1125825,2551500,209550,410200
AR237351575088005120,PETE SESSIONS FOR CONGRESS,FEC ID C00303305,US,US-Federal,34,16800,14750,1231250,28825,109600,381000,110000,4770000,63600,68775,153000,13050,25600
AR237561375650480128,OCEANA INC,EIN ID 51-0401308,US,US-Federal,1,0,0,500,25,100,0,0,0,0,0,0,0,0
AR237832473986203648,GREAT AMERICAN COLLECTIBLES LLC,EIN ID 27-2114629,US,US-Federal,5,100,100,7250,175,700,2000,500,30000,400,450,750,100,200
AR237965927210024960,IOWA VALUES,FEC ID C00565846,US,US-Federal,18,30400,27150,2116750,53100,200700,696000,202500,8850000,116500,128325,288000,24500,46200
AR238386559127126016,ACTION 4 LIBERTY,EIN ID 46-3168899,US,US-Federal,40,14200,12600,1075500,24600,95000,335000,94000,4387500,56000,60900,132000,11350,22000
AR23854798117797888,DEFENDARIZONA,EIN ID 82-4255600,US,US-Federal,49,63400,53500,4680500,104675,403200,1409000,398500,19005000,236500,259425,553500,48400,95400
AR238606324013727744,GINA FANT-SIMON,,US,US-Federal,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AR238773518500626432,Petros Kokkalis,,"EU, GR",EU-Parliament,231,21400,19100,1492000,37375,141900,492000,142500,6195000,82100,90975,204000,16650,32600
AR238802724278239232,BOB CLEGG FOR EXECUTIVE COUNCIL,FEC ID 09005097,US,US-Federal,2,300,250,21000,475,1800,6000,2000,82500,1000,1125,2250,200,400
AR239482428622635008,HEIDI FOR SENATE,FEC ID C00505552,US,US-Federal,296,297800,258350,21598250,505250,1918300,6654000,1927000,83685000,1111500,1203075,2689500,229050,452800
AR23989694450630656,ARDA CAMPAIGNS LLC,EIN ID 82-3347781,US,US-Federal,1,400,350,27500,675,2600,9000,2500,112500,1500,1650,3750,300,600
AR240034108581871616,GOD PARTY ISRAELI-AMERICAN PLATFORM,FEC ID C00691840,US,US-Federal,1,0,0,500,0,0,0,0,0,0,0,0,0,0
AR240131346641453056,A STRONGER MISSOURI,EIN ID 85-1198692,US,US-Federal,10,85300,72200,6267000,141250,544000,1914000,537000,25867500,321200,350550,748500,65600,127800
AR240372620724273152,FRIENDS OF DALE SOLTIS FOR SHERIFF,EIN ID 84-3674681,US,US-Federal,6,1700,1550,121750,3000,11400,39000,11500,517500,6600,7350,16500,1300,2600
AR240543663501869056,FRIENDS OF STEVE POLGAR,Registered in New York A23515,US,US-Federal,20,100,50,5250,125,500,2000,500,22500,300,300,750,50,200
AR240608328529477632,RESONATE NETWORKS INC,EIN ID 27-1573058,US,US-Federal,21,20400,17600,1467750,34375,130600,452000,131000,5700000,75400,81750,183750,15700,30800
AR240720822312894464,BEN SALANGO FOR WEST VIRGINIA,EIN ID 84-3390846,US,US-Federal,3,7400,6600,559750,12925,50100,177000,49500,2287500,29300,31950,69000,5900,11600
AR240810638668988416,ELIZABETH HENG FOR CONGRESS,FEC ID C00670257,US,US-Federal,8,7700,6700,564000,13125,49800,173000,50000,2175000,28800,31275,69750,5900,11800
AR240944779087577088,CHANGE NOW,FEC ID C00683599,US,US-Federal,61,181500,158400,13333250,309775,1176300,4092000,1181500,51300000,682500,738975,1643250,139800,277200
AR241346788026482688,KATHLEEN WILLIAMS FOR MONTANA,EIN ID 83-3599969,US,US-Federal,16,1000,850,71250,1650,6400,22000,6500,292500,3700,4050,9000,750,1400
AR241434680237228032,GEORGIANS FOR A BRIGHTER FUTURE INC,EIN ID 83-2464283,US,US-Federal,43,20000,17600,1410750,34450,130600,457000,131500,5685000,75500,81975,180750,15650,29200
AR241744467638353920,EXCEED MISSISSIPPI PAC,EIN ID 84-2508395,US,US-Federal,15,5600,5000,398500,9825,37100,130000,37500,1642500,21900,23700,54000,4600,8800
AR241827274607820800,CITIZENS FOR TURNER,EIN ID 71-0865338,US,US-Federal,1,0,0,500,25,100,0,0,0,0,0,0,0,0
AR242040786022039552,PEACEHEALTH,EIN ID 91-0565889,US,US-Federal,1,2000,1850,154000,3625,14000,50000,14000,652500,8400,8925,20250,1600,3400
AR242125929453715456,Sloboda a Solidarita,,"AT, CZ, EU, HU, PL, SK",EU-Parliament,1144,118800,107700,8431000,210625,801100,2735000,804500,35805000,461600,514500,1145250,92000,183600
AR242324872338866176,NEA ADVOCACY FUND,FEC ID C00489815,US,US-Federal,2,29700,25200,2185250,49275,189800,668000,187500,9030000,112100,122400,261750,22800,44800
AR242336073613574144,CAMPAIGN FUND OF ADAM JENNINGS,EIN ID 84-2131340,US,US-Federal,24,1400,1300,106000,2525,9800,35000,9500,457500,5800,6225,14250,1150,2400
AR242520447969656832,KYLE CANADAY,,US,US-Federal,6,100,100,9250,225,900,3000,1000,37500,500,525,1500,100,200
AR242570956785057792,LEAGUE OF CONSERVATION VOTERS VICTORY FUND,EIN ID 27-3145176,US,US-Federal,36,8100,7100,590500,13850,52700,183000,53000,2287500,30600,33075,73500,6250,12200
AR242722551950737408,DR. CHUCK ELLINGTON FOR CONGRESS,FEC ID C00730101,US,US-Federal,2,600,500,43250,1025,4000,14000,4000,180000,2300,2550,6000,450,1000
AR242725987924574208,VOTEVETS,FEC ID C00418897,US,US-Federal,71,125200,109950,9201000,215075,819600,2850000,820500,36127500,476400,517200,1142250,97100,191200
AR242860128343162880,ELIZABETH PANNILL FLETCHER FOR CONGRESS,FEC ID C00640045,US,US-Federal,48,65200,56550,4770500,110575,422600,1471000,421500,19057500,246400,268275,588000,50150,99000
AR242981074622218240,KONNI BURTON CAMPAIGN,EIN ID 46-3201932,US,US-Federal,15,4500,3900,326250,7600,28900,100000,29000,1260000,16700,18150,40500,3450,6800
AR243205718591668224,LAHOOD FOR CONGRESS,EIN ID 47-3464250,US,US-Federal,30,6000,5250,449500,10225,39400,139000,39000,1830000,23200,25275,54750,4700,9200
AR243296840617820160,FRIENDS OF GREG ROTHMAN,EIN ID 47-4205960,US,US-Federal,3,0,0,1250,25,100,0,0,7500,100,75,0,0,0
AR243325565359095808,FRIENDS OF BECKY GARDNER,EIN ID 84-2917316,US,US-Federal,12,100,100,8500,200,700,3000,500,30000,400,450,750,100,200
AR243570412854706176,GIFFORDS PAC,FEC ID C00540443,US,US-Federal,73,155000,139200,11015500,272200,1036400,3560000,1039500,45757500,595000,661200,1491750,120400,242400
AR243734858562535424,HOYER FOR CONGRESS,FEC ID C00140715,US,US-Federal,39,112400,102800,8503750,201100,779000,2806000,766500,36030000,464200,497625,1086750,91600,184000
AR24388817171513344,Auburn Digital Solutions Private Limited,,IN,IN-General,124,174700,155600,12085750,304325,1155800,3990000,1161500,49942500,667600,739200,1622250,133750,259200
AR244030008715116544,TEAM STAVA-MURRAY,EIN ID 82-3081534,US,US-Federal,47,5800,5000,419500,9825,37300,129000,37500,1620000,21600,23400,51750,4450,8800
AR244209297829920768,SHARYN EFIMOFF,,US,US-Federal,2,200,200,14500,350,1300,5000,1500,60000,800,825,2250,150,400
AR244240359033405440,Riddle ride j.d.o.o.,,"EU, HR",EU-Parliament,136,2100,1850,157250,3625,14000,50000,14000,660000,8300,9000,19500,1700,3200
AR244245100677300224,UNITE THE COUNTRY,FEC ID C00701888,US,US-Federal,106,336000,303550,24107750,593675,2264400,7677000,2267500,102810000,1302600,1453800,3207000,258900,520400
AR244274375174389760,LKR,,"DE, EU",EU-Parliament,19,8500,7650,594500,14925,56700,197000,57000,2490000,32800,36300,81750,6750,13000
AR2442977397964800,LISA SONG SUTTON FOR CONGRESS,FEC ID C00711077,US,US-Federal,3,1500,1400,116500,2750,10700,38000,10500,495000,6400,6825,15000,1250,2600
AR244316775091535872,"REPUBLICAN STATE LEADERSHIP COMMITTEE, INC.",EIN ID 05-0532524,US,US-Federal,7,8900,7650,663000,14925,57500,201000,57000,2700000,33800,36975,78750,6850,13400
AR24435546415693824,PAUL DAVIS FOR KANSAS,FEC ID C00653121,US,US-Federal,16,24800,21550,1810250,42150,160100,556000,161000,6975000,92800,100500,223500,19050,37800
AR244720295858929664,ENGAGED AMERICAN PAC,EIN ID 85-1282853,US,US-Federal,37,2800,2450,211750,4750,18300,64000,18000,847500,10800,11775,24750,2200,4400
AR244724487747010560,Gonzo Agency ApS,,"DK, EU",EU-Parliament,78,22200,19850,1546500,38800,147200,511000,148000,6435000,85100,94275,212250,17400,33800
AR24474441639526400,BOUGHTON FOR GOVERNOR,EIN ID 82-3978053,US,US-Federal,1,3100,2700,214250,5250,19900,69000,20000,862500,11500,12450,27750,2400,4600
AR245122167358881792,Štěpán Ryšavý,,"CZ, EU",EU-Parliament,3,0,0,1000,25,100,0,0,7500,100,75,0,0,0
AR245418485742567424,CODAVATE LLC,EIN ID 82-4319215,US,US-Federal,2,0,0,1500,25,100,0,0,7500,100,75,0,0,0
AR24548040199110656,"BUILD GROW SCALE, LLC",EIN ID 82-2840155,US,US-Federal,8,0,50,3250,75,300,1000,500,15000,200,150,750,50,0
AR245542936714936320,FRIENDS OF DAVE BRAT INC.,FEC ID C00554949,US,US-Federal,130,60100,52050,4376500,101825,386800,1342000,388500,16852500,223900,242550,540750,46100,91000
AR245558123719294976,PHILADELPHIA CHURCH OF GOD INC,EIN ID 73-1354094,US,US-Federal,12,3400,2950,236500,5800,22000,76000,22000,960000,12700,13800,30750,2650,5200
AR245746140207644672,Rohitesh Bhan,,IN,IN-General,8,100,50,3750,75,300,1000,500,15000,200,225,750,50,0
AR245758578432933888,"INTERNATIONAL RESCUE COMMITTEE, INC.",EIN ID 13-5660870,US,US-Federal,96,41300,36950,2943750,72250,275400,964000,275500,12360000,161400,175575,394500,32750,64400
AR246237828063690752,STABENOW FOR US SENATE,FEC ID C00344473,US,US-Federal,36,138300,119750,9811750,234175,888200,3090000,893000,38760000,516400,557250,1240500,106250,207200
AR246281808528801792,"YODER FOR CONGRESS, INC",FEC ID C00472365,US,US-Federal,20,12800,11000,904500,21525,81700,283000,82000,3555000,47200,51225,114000,9800,19200
AR246301393579671552,VOTE YES FOR FAIRNESS,EIN ID 84-3192895,US,US-Federal,185,602500,513000,44544750,1003725,3862900,13544000,3818500,182010000,2274500,2486175,5311500,462500,907200
AR246860563961872384,CLUB FOR GROWTH ACTION,EIN ID 27-3167202,US,US-Federal,462,117700,101600,8788750,198700,763300,2669000,757000,35325000,448300,491175,1053000,91300,179800
AR247013670956040192,WAYNE WILLIAMS FOR COLORADO,EIN ID 47-3377821,US,US-Federal,2,3600,3200,264750,6225,23600,82000,23500,1027500,13700,14850,33000,2800,5400
AR247032981129003008,FIVE KAO,,"BG, EU, IT, RO",EU-Parliament,55,300,300,25500,575,2200,8000,2000,105000,1300,1425,3000,250,600
AR24721694316822528,Volt Nederland,,"AT, BE, BG, DE, ES, EU, IT, NL, SK",EU-Parliament,17,26500,23700,1847250,46375,176100,612000,177000,7740000,102000,112875,255000,20850,40600
AR247363727970533376,BLACKBURN TENNESSEE VICTORY FUND,FEC ID C00676395,US,US-Federal,16,105200,91900,7711250,179750,682900,2373000,685500,29722500,396000,428550,952500,81100,159800
AR247428186839711744,THE COMMITTEE TO ELECT JAY GONZALEZ,EIN ID 81-5147584,US,US-Federal,95,25100,21800,1826250,42675,162100,562000,162500,7072500,93900,101550,227250,19350,38000
AR247676676467589120,CENK FOR CONGRESS,FEC ID C00727008,US,US-Federal,31,9100,8250,655250,16150,61600,210000,61500,2790000,35600,39675,87750,7050,14400
AR247906886714654720,ESAFUND,FEC ID C00489856,US,US-Federal,11,163100,142900,11872250,279500,1062700,3690000,1066000,46005000,615900,666075,1475250,125250,245000
AR248041576889057280,JONI FOR IOWA,FEC ID C00546788,US,US-Federal,247,658000,563200,48893250,1101650,4231600,14805000,4194000,197175000,2487800,2723625,5829750,506900,997000
AR24814465610416128,BEACHSIDE MEDIA INC,EIN ID 81-3216842,US,US-Federal,5788,563600,509300,41590250,996175,3830100,13358000,3801500,175297500,2240100,2451375,5411250,445000,892000
AR248190079678283776,LIUNA MINNESOTA & NORTH DAKOTA/LABORERS' DISTRICT COUNCIL OF  MINNESOTA & NORTH DAKOTA,FEC ID C00684332,US,US-Federal,33,0,0,1500,50,100,1000,0,7500,100,75,0,0,0
AR248470386423889920,DRAVIDA MUNNETRA KAZHAGAM,,IN,IN-General,268,613900,542150,42731500,1060400,4032300,13911000,4046000,174817500,2323000,2582400,5668500,469250,910000
AR248471829532901376,SIERRA CLUB MASSACHUSETTS IEPAC,EIN ID 85-1961327,US,US-Federal,6,100,100,10750,225,900,3000,1000,45000,500,600,1500,100,200
AR248489627877376000,DCCC,FEC ID C00000935,US,US-Federal,1127,1257900,1096350,91736750,2144375,8159400,28301000,8177000,360607500,4738200,5148150,11406750,969100,1916600
AR248500622993653760,GARY JOHNSON FOR US SENATE INC,FEC ID C00685610,US,US-Federal,13,2400,2100,176750,4100,15600,54000,15500,675000,9000,9750,21750,1850,3600
AR248881328894771200,Österreichischer Wirtschaftsbund (ÖWB),,"AT, DE, EU",EU-Parliament,22,3300,2950,228750,5725,21700,75000,22000,945000,12600,13950,31500,2550,5000
AR248937541426741248,GUTHRIE FOR CONGRESS,FEC ID C00445023,US,US-Federal,3,5900,5150,442500,10100,38900,137000,38500,1800000,22900,24975,54000,4650,9000
AR24922217749938176,FRIENDS OF JASON MIYARES,EIN ID 47-3234493,US,US-Federal,26,4000,3600,283500,7050,26800,93000,27000,1200000,15600,17175,39000,3150,6200
AR249539249165041664,"REFORM AUSTIN, INC.",EIN ID 82-4329726,US,US-Federal,157,55500,48650,4171250,95150,366800,1286000,362500,16785000,214900,235050,506250,43500,85000
AR249615527784218624,DSCC,FEC ID C00042366,US,US-Federal,692,6914900,5862900,513271000,11468075,44057700,153507000,43656000,2050350000,25808800,28337025,60593250,5270700,10470000
AR250391370676568064,Most-Híd,,"AT, CZ, DE, EU, HU, SK",EU-Parliament,1334,69500,63600,4966000,124425,474000,1595000,475500,21427500,271800,304275,672000,53450,108000
AR250509224579170304,SOCIETY FOR HUMAN RESOURCE MANAGEMENT,EIN ID 34-0948453,US,US-Federal,2,0,0,250,0,0,0,0,0,0,0,0,0,0
AR250751666893094912,"NORTH CAROLINA ASSOCIATION OF EDUCATORS, INC.",EIN ID 56-0948289,US,US-Federal,1,100,100,7500,175,700,2000,500,30000,400,450,750,100,200
AR250816538079133696,CONSTELLATION POLITICAL,EIN ID 27-2475108,US,US-Federal,23,400,350,29250,725,2800,10000,3000,120000,1600,1800,3750,300,600
AR251000500118355968,VICTOR GORDO FOR MAYOR 2020,EIN ID 84-3194835,US,US-Federal,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AR251475695299985408,CITIZENS FOR POLK EDUCATION,EIN ID 85-1578574,US,US-Federal,1,1600,1400,122250,2700,10400,36000,10500,480000,6100,6675,14250,1250,2400
AR251560151536893952,DIE GRÜNEN Bezirk Mödling,,"AT, EU",EU-Parliament,3,700,650,53250,1325,5000,17000,5000,225000,2900,3225,6750,550,1200
AR251657114718568448,REVITALIZE ARIZONA,EIN ID 45-4460253,US,US-Federal,23,1200,1050,91000,2075,8000,28000,8000,367500,4700,5100,11250,950,1800
AR251930893113884672,SAM FOR SENATE,EIN ID 84-3195066,US,US-Federal,11,1500,1250,109000,2425,9300,33000,9500,435000,5500,6000,12750,1100,2200
AR252434538158882816,WENSTRUP FOR CONGRESS,EIN ID C00497818,US,US-Federal,8,32500,28700,2445000,56100,216500,766000,213500,10057500,128100,138750,300750,25700,50800
AR25250421970829312,social kinnect pvt ltd,,IN,IN-General,124,97000,87400,6918500,170950,650200,2245000,653000,28987500,374300,415800,942000,75500,152600
AR25261898123444224,LIFTABLE MEDIA INC.,EIN ID 47-1453282,US,US-Federal,15,2200,2000,168750,3900,15100,54000,15000,697500,9000,9675,21000,1800,3600
AR252693679305654272,FRIENDS OF MELISSA CRIBBINS,Registered in Oregon 15616,US,US-Federal,4,500,450,37500,900,3500,13000,3500,165000,2100,2250,5250,400,800
AR252721991730069504,FRIENDS OF OTTO WACHSMANN,"EIN ID PO BOX 218 STONY CREEK, VA 23882",US,US-Federal,8,3000,2700,212250,5250,20000,69000,20000,885000,11500,12825,29250,2300,4600
AR252789680414654464,FRIENDS OF DEVLIN,EIN ID 84-2703727,US,US-Federal,14,2100,1950,161250,3800,14800,53000,14500,682500,8800,9450,21000,1750,3400
AR25310001757159424,BIDEN VICTORY FUND,FEC ID C00744946,US,US-Federal,198,11056600,9414350,824283500,18414100,70796900,247357000,70096000,3300292500,41571800,45561150,97274250,8485000,16754600
AR253299785090465792,"IMAGEWORKS, LLC",EIN ID 06-1547210,US,US-Federal,452,3900,3300,288500,6425,24600,86000,24500,1147500,14500,15900,33750,2950,5800
AR253414065580277760,JACOBS FOR CONGRESS,FEC ID C00706788,US,US-Federal,16,3200,2850,231750,5625,21500,74000,21500,967500,12400,13725,30000,2500,5000
AR253569577756131328,JENNIFER PAWLIK FOR AZ,EIN ID 81-0970447,US,US-Federal,6,700,550,48500,1100,4200,15000,4000,202500,2500,2700,6000,500,1000
AR253947878475563008,JAMES MACKLER FOR US SENATE,FEC ID C00637850,US,US-Federal,8,23300,20600,1707250,40325,154100,537000,154000,7035000,90200,99000,216750,18300,35800
AR254119127411589120,CFG ACTION WISCONSIN,EIN ID 82-2516740,US,US-Federal,175,29100,25200,2007250,49275,186700,646000,187500,8122500,108000,116850,260250,22450,43400
AR254356072167374848,Partito Democratico,,"EU, IT",EU-Parliament,61,71900,63600,5108750,124400,473300,1646000,474500,21045000,275000,303525,674250,56200,109200
AR25446822235340800,Koalicyjny Komitet Wyborczy Koalicja Obywatelska PO .N iPL Zieloni,,"AT, BE, CY, CZ, DE, DK, ES, EU, FR, GB, GR, HR, IE, IT, NL, PL, PT, RO, SE, SK",EU-Parliament,22802,120500,109750,8555250,214625,813600,2834000,819500,36630000,477400,521250,1182000,97400,191400
AR254686337972568064,LETICIA PEREZ FOR SUPERVISOR,EIN ID 84-3795641,US,US-Federal,2,500,450,39250,925,3600,13000,3500,172500,2200,2325,5250,400,800
AR254872636473999360,REPRESENT SOUTH DAKOTA,EIN ID 82-1059813,US,US-Federal,3,0,50,2500,50,200,1000,0,7500,100,150,0,50,0
AR254898681155682304,"AUDIENCE PARTNERS, LLC",EIN ID 26-2376883,US,US-Federal,4,3100,2750,215750,5400,20500,71000,20500,885000,11800,13125,29250,2400,4600
AR255012824206540800,ELKARREKIN PODEMOS-IU,,"ES, EU",EU-Parliament,47,8300,7350,624500,14425,55600,197000,55000,2610000,33000,35700,76500,6600,12600
AR255071304481243136,INDIVISIBLE ACTION,FEC ID C00678839,US,US-Federal,37,53500,48050,3804000,94025,357300,1230000,359000,15847500,206100,229050,510750,41250,82200
AR255281723519008768,"NRDC ACTION FUND, INC",FEC ID C70006218,US,US-Federal,7,3200,2850,226000,5600,21300,73000,21500,952500,12200,13650,30750,2450,5000
AR255575774159962112,SHAHID BUTTAR FOR CONGRESS COMMITTEE,FEC ID C00670463,US,US-Federal,3,1200,1050,87750,2000,7700,27000,7500,367500,4600,4950,10500,950,1800
AR25571685524570112,MCCLINTOCK & MCAULIFFE FOR FREEHOLDER,EIN ID 82-5104142,US,US-Federal,3,200,200,15500,375,1400,5000,1500,60000,800,900,2250,150,400
AR255896213079982080,AMERICAN POSSIBILITIES PAC,FEC ID C00639500,US,US-Federal,19,116400,103000,8139750,201450,764700,2644000,768500,32835000,442700,488925,1076250,89250,171600
